account_name,business_unit
AWS account QAS,arquitetura-sistemas
Innovation Lab - HIAE,hematolog
Poc Datalake,big-data-analytics
PROADIHUB Big Data Analytics,proadi
sbibae-aamo-prd-hstory-p4m,e-gate
sbibae-bcim-prd-sandbox-proadi-imagem,proadi
sbibae-bcim-prd-sandbox-proadi-imagem-backup,proadi
sbibae-bdat-prd-sandbox-proadi-trauma,proadi
SBIBAE-Bdmp-Prd-Multiomics,varsomics
SBIBAE-Bigd-Dev-Databricks,big-data-databricks
SBIBAE-Bigd-Hom-Databricks,big-data-databricks
SBIBAE-Bigd-Prd-Databricks,big-data-databricks
sbibae-cmco-dev-dados-pela-saude,comunicacao-corporativa
SBIBAE-Cmco-Prd-Dados-Pela-Saude,comunicacao-corporativa
sbibae-daps-prd-sandbox-proadi-diana-aps,diana-aps
SBIBAE-Dest-Sandbox-Plataforma-UpLuxo,dest
sbibae-ditd-dev-statis,diretoria-inovacao
sbibae-ditd-prd-statis,diretoria-inovacao
SBIBAE-Edge-Backup,big-data-analytics
SBIBAE-Edge-Build-Consumer,big-data-analytics
SBIBAE-Edge-Consumer-Shared,big-data-analytics
SBIBAE-Edge-Dev-DataProduct-BigData,big-data-analytics
SBIBAE-Edge-DevOps,big-data-analytics
SBIBAE-Edge-Prd-DataProduct-BigData,big-data-analytics
SBIBAE-Edge-QAS-BI-Sandbox,big-data-analytics
SBIBAE-Edge-Sandbox-DataProduct-Development,big-data-analytics
sbibae-edis-prd-sandbox-proadi-edis-bio,proadi
SBIBAE-Equy-Sandbox-Equity,e-gate
sbibae-esla-dev-escala,plataforma-digital
sbibae-esla-hom-escala,plataforma-digital
sbibae-esla-prd-escala,plataforma-digital
SBIBAE-Evol-Dev-Evolve,big-data-analytics
sbibae-evol-hom-evolve,big-data-analytics
SBIBAE-Evol-Prd-Evolve,big-data-analytics
sbibae-gdat-dev-atlas,big-data-edge-resources
sbibae-gdat-dev-mcp-de-id,big-data-edge-resources
SBIBAE-Gdat-Prd-Omop,global-data-connection
sbibae-good-poc-amazon-q,otimizacao-digital
sbibae-labo-poc-healthomics,laboratorio-clinico
SBIBAE-Labo-Prd-Bioinfo,laboratorio-clinico
SBIBAE-Labo-Prd-varstation,varsomics
SBIBAE-Labo-Sandbox-Varstation,varsomics
SBIBAE-Lbio-Prd-Biobanco,lbio
sbibae-lobo-prd-aptralobo,lobomicose
SBIBAE-Ma02-Sandbox-Vital-Mom,inovacao-manaus
SBIBAE-Master,ti-infraestrutura
SBIBAE-Padg-SaaS-A-C-Camargo,plataforma-digital
SBIBAE-Padg-Sandbox-SaaS-Care-Plus,plataforma-digital
sbibae-pdiv-prd-sandbox-crio,big-data-analytics-edge-research
sbibae-pldg-prd-saas-fleury,plataforma-digital
sbibae-prd,arquitetura-sistemas
SBIBAE-Prin-Prd-Backup,ti-infraestrutura
SBIBAE-Prin-Prd-Infra-Shared-Services,ti-infraestrutura
sbibae-prin-prd-log-archive,ti-infraestrutura
sbibae-prin-prd-managed-directory-service,ti-infraestrutura
sbibae-prin-prd-network,ti-infraestrutura
SBIBAE-Prin-Prd-Setor-Publico,ti-infraestrutura
SBIBAE-Prin-QAS-CCoE,ti-infraestrutura
sbibae-seid-consumer-bigdata,big-data-analytics
SBIBAE-Seid-Dev-BDAOps,big-data-analytics
sbibae-seid-dev-file-origins,big-data-analytics
sbibae-seid-dev-governance,big-data-analytics
sbibae-seid-dev-interoperabilidade,health-innovation-tech-lab
SBIBAE-Seid-Dev-Lakehouse,health-innovation-tech-lab
SBIBAE-Seid-Dev-Model-Registry,big-data-analytics
sbibae-seid-dev-sadiax,health-innovation-tech-lab
SBIBAE-Seid-Hom-BDAOps,big-data-analytics
sbibae-seid-hom-lakehouse,health-innovation-tech-lab
SBIBAE-Seid-Hom-Model-Registry,big-data-analytics
SBIBAE-Seid-Prd-BDAOps,big-data-analytics
sbibae-seid-prd-file-origins,big-data-analytics
sbibae-seid-prd-governance,big-data-analytics
sbibae-seid-prd-hoobox,big-data-analytics
sbibae-seid-prd-interoperabilidade,health-innovation-tech-lab
SBIBAE-Seid-Prd-Lakehouse,big-data-analytics
SBIBAE-Seid-Prd-Model-Registry,big-data-analytics
SBIBAE-Sein-Prd-Security,security
SBIBAE-Sein-Sandbox-Malware,security
sbibae-sens-poc-conteudo-ensino,ensino
SBIBAE-Sens-Prd-Conteudo-Ensino,ensino
SBIBAE-TMDA-Dev-Mda-ConsumerData,plataforma-digital
SBIBAE-TMDA-Dev-Mda-Governanca-Dados,plataforma-digital
sbibae-tmda-dev-mda-informacional,plataforma-digital
sbibae-tmda-dev-survivors,plataforma-digital
SBIBAE-Tmda-Prd-Laudo-Audio-Visual,plataforma-digital
sbibae-tmda-prd-mda-consumer-data,plataforma-digital
sbibae-tmda-prd-mda-governanca-dados,plataforma-digital
SBIBAE-TMDA-Prd-Mda-Informacional,plataforma-digital
sbibae-tmda-prd-teleobstetricia,plataforma-digital
sbibae-tmda-sandbox-engplataforma,plataforma-digital
SBIBAE-Tmda-Sandbox-Lav,plataforma-digital
SBIBAE-Vera-Sandbox-Veracis,proadi
sbibae-vgia-prd-sandbox-proadi-vigiambsi,proadi
Tecnologia Educacional,ensino
