id,name,rest_api_id,auth_type,authorizer_credentials,authorizer_uri,identity_validation_expression,authorizer_result_ttl_in_seconds,identity_source,provider_arns,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx
qyxohe,ApiLambdaAuthorizer,u71yta3o2g,custom,,arn:aws:apigateway:sa-east-1:lambda:path/2015-03-31/functions/arn:aws:lambda:sa-east-1:634045278394:function:auth-auhorizer-ckp:v4-1/invocations,,300,"method.request.header.Authorization, method.request.header.Channel",,ApiLambdaAuthorizer,"[""arn:aws:apigateway:sa-east-1:413850945308::/restapis/u71yta3o2g/authorizer/qyxohe""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
fnuj57,ApiLambdaAuthorizer,sucr4xpis2,custom,,arn:aws:apigateway:sa-east-1:lambda:path/2015-03-31/functions/arn:aws:lambda:sa-east-1:634045278394:function:auth-auhorizer-ckp:v4-1/invocations,,300,"method.request.header.Authorization, method.request.header.Channel",,ApiLambdaAuthorizer,"[""arn:aws:apigateway:sa-east-1:413850945308::/restapis/sucr4xpis2/authorizer/fnuj57""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
v5z7sd,fhir-works-authorizer-prd-sa-east-1,dm05mbmqx5,cognito_user_pools,,,,,method.request.header.Authorization,"[""arn:aws:cognito-idp:sa-east-1:413850945308:userpool/sa-east-1_Q1UaWdnoE""]",fhir-works-authorizer-prd-sa-east-1,"[""arn:aws:apigateway:sa-east-1:413850945308::/restapis/dm05mbmqx5/authorizer/v5z7sd""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
zoz6yb,ApiLambdaAuthorizer,mzlvh21bng,custom,,arn:aws:apigateway:sa-east-1:lambda:path/2015-03-31/functions/arn:aws:lambda:sa-east-1:634045278394:function:auth-authorizer:v2/invocations,,300,"method.request.header.Authorization, method.request.header.Channel",,ApiLambdaAuthorizer,"[""arn:aws:apigateway:sa-east-1:413850945308::/restapis/mzlvh21bng/authorizer/zoz6yb""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
2auon8,ApiLambdaAuthorizer,2i6zzjp2b3,custom,,arn:aws:apigateway:sa-east-1:lambda:path/2015-03-31/functions/arn:aws:lambda:sa-east-1:634045278394:function:auth-auhorizer-ckp:v4-1/invocations,,300,"method.request.header.Authorization, method.request.header.Channel",,ApiLambdaAuthorizer,"[""arn:aws:apigateway:sa-east-1:413850945308::/restapis/2i6zzjp2b3/authorizer/2auon8""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
3o93qb,ApiLambdaAuthorizer,auy8vulk88,custom,,arn:aws:apigateway:sa-east-1:lambda:path/2015-03-31/functions/arn:aws:lambda:sa-east-1:634045278394:function:auth-auhorizer-ckp:v4-1/invocations,,300,"method.request.header.Authorization, method.request.header.Channel",,ApiLambdaAuthorizer,"[""arn:aws:apigateway:sa-east-1:413850945308::/restapis/auy8vulk88/authorizer/3o93qb""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
56pdog,ApiCognitoAuthorizer,8jp7iyhj6c,custom,,arn:aws:apigateway:sa-east-1:lambda:path/2015-03-31/functions/arn:aws:lambda:sa-east-1:634045278394:function:auth-auhorizer-ckp:v4-1/invocations,,300,"method.request.header.Authorization, method.request.header.Channel",,ApiCognitoAuthorizer,"[""arn:aws:apigateway:sa-east-1:413850945308::/restapis/8jp7iyhj6c/authorizer/56pdog""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
oct5u6,JWTAuthorizer,z2xy3oux67,custom,,arn:aws:apigateway:sa-east-1:lambda:path/2015-03-31/functions/arn:aws:lambda:sa-east-1:413850945308:function:receita-digital_jwt-validator/invocations,,0,method.request.header.Authorization,,JWTAuthorizer,"[""arn:aws:apigateway:sa-east-1:413850945308::/restapis/z2xy3oux67/authorizer/oct5u6""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
qw8jes,TestAuthorizerV2-US,uj4n95hc3h,custom,,arn:aws:apigateway:us-east-1:lambda:path/2015-03-31/functions/arn:aws:lambda:us-east-1:634045278394:function:auth-auhorizer-ckp:v4-1/invocations,,0,"method.request.header.Authorization,method.request.header.Channel",,TestAuthorizerV2-US,"[""arn:aws:apigateway:sa-east-1:413850945308::/restapis/uj4n95hc3h/authorizer/qw8jes""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
7y7p5v,ApiCognitoAuthorizer,8uo1ki7gt1,custom,,arn:aws:apigateway:sa-east-1:lambda:path/2015-03-31/functions/arn:aws:lambda:sa-east-1:634045278394:function:auth-auhorizer-ckp:v4-1/invocations,,300,"method.request.header.Authorization, method.request.header.Channel",,ApiCognitoAuthorizer,"[""arn:aws:apigateway:sa-east-1:413850945308::/restapis/8uo1ki7gt1/authorizer/7y7p5v""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
