name,arn,rest_api_id,deployment_id,created_date,cache_cluster_enabled,tracing_enabled,access_log_settings,cache_cluster_size,cache_cluster_status,client_certificate_id,description,documentation_version,last_updated_date,canary_settings,method_settings,variables,web_acl_arn,title,tags,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx
prd,arn:aws:apigateway:sa-east-1::/restapis/4lxdmpmtvg/stages/prd,4lxdmpmtvg,pl0jsr,2022-12-08T22:32:38-03:00,false,false,,,NOT_AVAILABLE,,,,2025-05-19T14:09:30-03:00,,{},"{""env"":""PRD""}",arn:aws:wafv2:sa-east-1:413850945308:regional/webacl/waf_api_rest_16kb/f299b38c-c3b8-4fe3-85e8-a7d068feeb86,prd,,"[""arn:aws:apigateway:sa-east-1::/restapis/4lxdmpmtvg/stages/prd""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
dev,arn:aws:apigateway:sa-east-1::/restapis/8uo1ki7gt1/stages/dev,8uo1ki7gt1,6y4xow,2025-05-19T16:01:35-03:00,false,false,,,NOT_AVAILABLE,,,,2025-05-19T16:03:36-03:00,,{},{},,dev,,"[""arn:aws:apigateway:sa-east-1::/restapis/8uo1ki7gt1/stages/dev""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
prd,arn:aws:apigateway:sa-east-1::/restapis/09yzyiwfs1/stages/prd,09yzyiwfs1,rd1xtp,2024-04-23T16:53:02-03:00,false,false,,0.5,NOT_AVAILABLE,,,,2025-05-06T19:41:56-03:00,,{},,arn:aws:wafv2:sa-east-1:413850945308:regional/webacl/waf_api_rest_16kb/f299b38c-c3b8-4fe3-85e8-a7d068feeb86,prd,,"[""arn:aws:apigateway:sa-east-1::/restapis/09yzyiwfs1/stages/prd""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
default,arn:aws:apigateway:sa-east-1::/restapis/cfeuzl83hh/stages/default,cfeuzl83hh,pzg8gb,2025-07-29T13:00:43-03:00,false,false,"{""DestinationArn"":""arn:aws:logs:sa-east-1:413850945308:log-group:/aws/api-gateway/plugplay-payments-api-default-logs"",""Format"":""{\""ctx_accountId\"":\""$context.accountId\"",\""ctx_apiId\"":\""$context.apiId\"",\""ctx_authorizer_error\"":\""$context.authorizer.error\"",\""ctx_authorizer_principalId\"":\""$context.authorizer.principalId\"",\""ctx_awsEndpointRequestId\"":\""$context.awsEndpointRequestId\"",\""ctx_customDomain_basePathMatched\"":\""$context.customDomain.basePathMatched\"",\""ctx_dataProcessed\"":\""$context.dataProcessed\"",\""ctx_domainName\"":\""$context.domainName\"",\""ctx_error_message\"":\""$context.error.message\"",\""ctx_extendedRequestId\"":\""$context.extendedRequestId\"",\""ctx_httpMethod\"":\""$context.httpMethod\"",\""ctx_identity_sourceIp\"":\""$context.identity.sourceIp\"",\""ctx_identity_userAgent\"":\""$context.identity.userAgent\"",\""ctx_integration_latency\"":\""$context.integration.latency\"",\""ctx_integration_status\"":\""$context.integration.status\"",\""ctx_path\"":\""$context.path\"",\""ctx_requestId\"":\""$context.requestId\"",\""ctx_requestTime\"":\""$context.requestTime\"",\""ctx_status\"":\""$context.status\""}""}",,NOT_AVAILABLE,,,,2025-11-03T17:12:56-03:00,,"{""*/*"":{""CacheDataEncrypted"":false,""CacheTtlInSeconds"":300,""CachingEnabled"":false,""DataTraceEnabled"":true,""LoggingLevel"":""INFO"",""MetricsEnabled"":true,""RequireAuthorizationForCacheControl"":true,""ThrottlingBurstLimit"":-1,""ThrottlingRateLimit"":-1,""UnauthorizedCacheControlHeaderStrategy"":""SUCCEED_WITH_RESPONSE_HEADER""}}",,arn:aws:wafv2:sa-east-1:413850945308:regional/webacl/waf_api_rest_16kb/f299b38c-c3b8-4fe3-85e8-a7d068feeb86,default,"{""hsl:operation:map-at"":""2025-11-04 05:00:40"",""hsl:product"":""plugplay"",""hsl:product:app"":""payments-api"",""hsl:product:env"":""production"",""hsl:squad:responsible"":""plugplay"",""map-migrated"":""d-server-02rouei8domo00""}","[""arn:aws:apigateway:sa-east-1::/restapis/cfeuzl83hh/stages/default""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
PRD,arn:aws:apigateway:sa-east-1::/restapis/akvflxksjb/stages/PRD,akvflxksjb,icig75,2025-04-10T15:57:30-03:00,false,false,,,NOT_AVAILABLE,,,,2025-05-06T19:43:09-03:00,,{},"{""env"":""PRD""}",arn:aws:wafv2:sa-east-1:413850945308:regional/webacl/waf_api_rest_16kb/f299b38c-c3b8-4fe3-85e8-a7d068feeb86,PRD,"{""hsl:operation:map-at"":""2025-04-13 05:00:38"",""hsl:product"":""plugplay"",""hsl:product:app"":""plugplay_telemedicina"",""hsl:product:env"":""PRD"",""hsl:product:nature"":""operation"",""hsl:security:access"":""private"",""hsl:security:data"":""has-sensitive"",""hsl:security:data:type"":""patient"",""hsl:squad:responsible"":""plugplay"",""map-migrated"":""d-server-02rouei8domo00""}","[""arn:aws:apigateway:sa-east-1::/restapis/akvflxksjb/stages/PRD""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
dev,arn:aws:apigateway:sa-east-1::/restapis/3rwfwqfnbj/stages/dev,3rwfwqfnbj,z3jd32,2025-07-30T14:12:30-03:00,false,false,,,NOT_AVAILABLE,,,,2025-09-09T16:00:46-03:00,,{},,,dev,,"[""arn:aws:apigateway:sa-east-1::/restapis/3rwfwqfnbj/stages/dev""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
default,arn:aws:apigateway:sa-east-1::/restapis/069oqmei8a/stages/default,069oqmei8a,r0spsf,2025-04-28T17:18:33-03:00,false,false,"{""DestinationArn"":""arn:aws:logs:sa-east-1:413850945308:log-group:/aws/api-gateway/plugplay-elegibilidade"",""Format"":""{\""ctx_accountId\"":\""$context.accountId\"",\""ctx_apiId\"":\""$context.apiId\"",\""ctx_authorizer_error\"":\""$context.authorizer.error\"",\""ctx_authorizer_principalId\"":\""$context.authorizer.principalId\"",\""ctx_awsEndpointRequestId\"":\""$context.awsEndpointRequestId\"",\""ctx_customDomain_basePathMatched\"":\""$context.customDomain.basePathMatched\"",\""ctx_dataProcessed\"":\""$context.dataProcessed\"",\""ctx_domainName\"":\""$context.domainName\"",\""ctx_error_message\"":\""$context.error.message\"",\""ctx_extendedRequestId\"":\""$context.extendedRequestId\"",\""ctx_httpMethod\"":\""$context.httpMethod\"",\""ctx_identity_sourceIp\"":\""$context.identity.sourceIp\"",\""ctx_identity_userAgent\"":\""$context.identity.userAgent\"",\""ctx_integration_latency\"":\""$context.integration.latency\"",\""ctx_integration_status\"":\""$context.integration.status\"",\""ctx_path\"":\""$context.path\"",\""ctx_requestId\"":\""$context.requestId\"",\""ctx_requestTime\"":\""$context.requestTime\"",\""ctx_status\"":\""$context.status\""}""}",,NOT_AVAILABLE,,,,2025-05-19T14:09:30-03:00,,"{""*/*"":{""CacheDataEncrypted"":false,""CacheTtlInSeconds"":300,""CachingEnabled"":false,""DataTraceEnabled"":true,""LoggingLevel"":""ERROR"",""MetricsEnabled"":true,""RequireAuthorizationForCacheControl"":true,""ThrottlingBurstLimit"":-1,""ThrottlingRateLimit"":-1,""UnauthorizedCacheControlHeaderStrategy"":""SUCCEED_WITH_RESPONSE_HEADER""}}",,arn:aws:wafv2:sa-east-1:413850945308:regional/webacl/waf_api_rest_16kb/f299b38c-c3b8-4fe3-85e8-a7d068feeb86,default,"{""hsl:operation:map-at"":""2025-05-01 05:00:39"",""hsl:product"":""plugplay"",""hsl:product:app"":""plugplay-elegibilidade"",""hsl:product:env"":""development"",""hsl:product:nature"":""operation"",""hsl:security:access"":""private"",""hsl:security:data"":""has-sensitive"",""hsl:security:data:type"":""patient"",""hsl:squad:responsible"":""plugplay"",""map-migrated"":""d-server-02rouei8domo00""}","[""arn:aws:apigateway:sa-east-1::/restapis/069oqmei8a/stages/default""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
prod,arn:aws:apigateway:sa-east-1::/restapis/8nv375xfni/stages/prod,8nv375xfni,9jbwv0,2023-01-12T12:08:41-03:00,false,false,,,NOT_AVAILABLE,,,,2025-05-19T14:09:30-03:00,,{},,arn:aws:wafv2:sa-east-1:413850945308:regional/webacl/waf_api_rest_16kb/f299b38c-c3b8-4fe3-85e8-a7d068feeb86,prod,,"[""arn:aws:apigateway:sa-east-1::/restapis/8nv375xfni/stages/prod""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
default,arn:aws:apigateway:sa-east-1::/restapis/w03n06ywl6/stages/default,w03n06ywl6,811vhp,2025-09-02T15:47:14-03:00,false,false,"{""DestinationArn"":""arn:aws:logs:sa-east-1:413850945308:log-group:/aws/api-gateway/plugplay-telemedicina-v2"",""Format"":""{\""ctx_accountId\"":\""$context.accountId\"",\""ctx_apiId\"":\""$context.apiId\"",\""ctx_authorizer_error\"":\""$context.authorizer.error\"",\""ctx_authorizer_principalId\"":\""$context.authorizer.principalId\"",\""ctx_awsEndpointRequestId\"":\""$context.awsEndpointRequestId\"",\""ctx_customDomain_basePathMatched\"":\""$context.customDomain.basePathMatched\"",\""ctx_dataProcessed\"":\""$context.dataProcessed\"",\""ctx_domainName\"":\""$context.domainName\"",\""ctx_error_message\"":\""$context.error.message\"",\""ctx_extendedRequestId\"":\""$context.extendedRequestId\"",\""ctx_httpMethod\"":\""$context.httpMethod\"",\""ctx_identity_sourceIp\"":\""$context.identity.sourceIp\"",\""ctx_identity_userAgent\"":\""$context.identity.userAgent\"",\""ctx_integration_latency\"":\""$context.integration.latency\"",\""ctx_integration_status\"":\""$context.integration.status\"",\""ctx_path\"":\""$context.path\"",\""ctx_requestId\"":\""$context.requestId\"",\""ctx_requestTime\"":\""$context.requestTime\"",\""ctx_status\"":\""$context.status\""}""}",,NOT_AVAILABLE,,,,2025-09-02T15:47:15-03:00,,"{""*/*"":{""CacheDataEncrypted"":false,""CacheTtlInSeconds"":300,""CachingEnabled"":false,""DataTraceEnabled"":true,""LoggingLevel"":""ERROR"",""MetricsEnabled"":true,""RequireAuthorizationForCacheControl"":true,""ThrottlingBurstLimit"":-1,""ThrottlingRateLimit"":-1,""UnauthorizedCacheControlHeaderStrategy"":""SUCCEED_WITH_RESPONSE_HEADER""}}",,,default,"{""hsl:operation:map-at"":""2025-09-05 05:00:46"",""hsl:product"":""plugplay"",""hsl:product:app"":""telemedicina"",""hsl:product:env"":""production"",""hsl:squad:responsible"":""plugplay"",""map-migrated"":""d-server-02rouei8domo00""}","[""arn:aws:apigateway:sa-east-1::/restapis/w03n06ywl6/stages/default""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
default,arn:aws:apigateway:sa-east-1::/restapis/fscvl5916c/stages/default,fscvl5916c,i1vfjs,2025-03-06T15:28:49-03:00,false,false,"{""DestinationArn"":""arn:aws:logs:sa-east-1:413850945308:log-group:/aws/api-gateway/plugplay-profissionais"",""Format"":""{\""ctx_accountId\"":\""$context.accountId\"",\""ctx_apiId\"":\""$context.apiId\"",\""ctx_authorizer_error\"":\""$context.authorizer.error\"",\""ctx_authorizer_principalId\"":\""$context.authorizer.principalId\"",\""ctx_awsEndpointRequestId\"":\""$context.awsEndpointRequestId\"",\""ctx_customDomain_basePathMatched\"":\""$context.customDomain.basePathMatched\"",\""ctx_dataProcessed\"":\""$context.dataProcessed\"",\""ctx_domainName\"":\""$context.domainName\"",\""ctx_error_message\"":\""$context.error.message\"",\""ctx_extendedRequestId\"":\""$context.extendedRequestId\"",\""ctx_httpMethod\"":\""$context.httpMethod\"",\""ctx_identity_sourceIp\"":\""$context.identity.sourceIp\"",\""ctx_identity_userAgent\"":\""$context.identity.userAgent\"",\""ctx_integration_latency\"":\""$context.integration.latency\"",\""ctx_integration_status\"":\""$context.integration.status\"",\""ctx_path\"":\""$context.path\"",\""ctx_requestId\"":\""$context.requestId\"",\""ctx_requestTime\"":\""$context.requestTime\"",\""ctx_status\"":\""$context.status\""}""}",,NOT_AVAILABLE,,,,2025-05-19T14:30:03-03:00,,"{""*/*"":{""CacheDataEncrypted"":false,""CacheTtlInSeconds"":300,""CachingEnabled"":false,""DataTraceEnabled"":true,""LoggingLevel"":""ERROR"",""MetricsEnabled"":true,""RequireAuthorizationForCacheControl"":true,""ThrottlingBurstLimit"":-1,""ThrottlingRateLimit"":-1,""UnauthorizedCacheControlHeaderStrategy"":""SUCCEED_WITH_RESPONSE_HEADER""}}",,arn:aws:wafv2:sa-east-1:413850945308:regional/webacl/waf_api_rest_16kb/f299b38c-c3b8-4fe3-85e8-a7d068feeb86,default,"{""hsl:operation:map-at"":""2025-05-20 05:00:38"",""hsl:product"":""plugplay"",""hsl:product:app"":""profissional"",""hsl:product:env"":""production"",""hsl:squad:responsible"":""plugplay"",""map-migrated"":""d-server-02rouei8domo00""}","[""arn:aws:apigateway:sa-east-1::/restapis/fscvl5916c/stages/default""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
