name,id,product_code,description,quota,throttle,api_stages,tags,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx
v2-usage-plan,pxyjbq,,,,,"[{""ApiId"":""czp4qsvr2i"",""Stage"":""default"",""Throttle"":null}]",,v2-usage-plan,"[""arn:aws:apigateway:sa-east-1::/usageplans/pxyjbq""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
v2-usage-plan,gaz6wq,,,,,"[{""ApiId"":""sbmn8vw5m7"",""Stage"":""default"",""Throttle"":null}]",,v2-usage-plan,"[""arn:aws:apigateway:sa-east-1::/usageplans/gaz6wq""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
faculdade-usage-plan,qvs630,,,,,"[{""ApiId"":""cfeuzl83hh"",""Stage"":""default"",""Throttle"":null}]",,faculdade-usage-plan,"[""arn:aws:apigateway:sa-east-1::/usageplans/qvs630""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
fhir-service-prd,1flsd4,,Usage plan for fhir-service prd stage,,"{""BurstLimit"":100,""RateLimit"":50}","[{""ApiId"":""dm05mbmqx5"",""Stage"":""prd"",""Throttle"":null}]","{""FHIR_SERVICE"":""fhir-service-sa-east-1-prd"",""STAGE"":""prd"",""hsl:operation:map-at"":""2022-12-07 05:00:33"",""map-migrated"":""d-server-02rouei8domo00""}",fhir-service-prd,"[""arn:aws:apigateway:sa-east-1::/usageplans/1flsd4""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
schedule-valitation-usage-plan,jf0zhi,,,,,[],,schedule-valitation-usage-plan,"[""arn:aws:apigateway:sa-east-1::/usageplans/jf0zhi""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
cc-int-Usage-NG7rJHuXqcET,7769im,,,,,"[{""ApiId"":""yl1hfs0d9d"",""Stage"":""prod"",""Throttle"":null}]",,cc-int-Usage-NG7rJHuXqcET,"[""arn:aws:apigateway:us-east-1::/usageplans/7769im""]",aws,us-east-1,802274005479,aws_autcentcirurgicoprd,"{""connection_name"":""aws_autcentcirurgicoprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_autcentcirurgicoprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
cc-integracao-salesforce-usage-plan,o4tr1v,,cc-integracao-salesforce usage plan,"{""Limit"":10000,""Offset"":0,""Period"":""MONTH""}",,"[{""ApiId"":""gdfnlkz7m8"",""Stage"":""prod"",""Throttle"":null}]",,cc-integracao-salesforce-usage-plan,"[""arn:aws:apigateway:us-east-1::/usageplans/o4tr1v""]",aws,us-east-1,802274005479,aws_autcentcirurgicoprd,"{""connection_name"":""aws_autcentcirurgicoprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_autcentcirurgicoprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
unmask,oigymh,,,,,"[{""ApiId"":""sfsa5bxnn1"",""Stage"":""PRD"",""Throttle"":null}]",,unmask,"[""arn:aws:apigateway:us-east-1::/usageplans/oigymh""]",aws,us-east-1,308676119841,aws_datalakeprd,"{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
usage-ris,jcbd51,,,,,"[{""ApiId"":""mw4lwcfjh1"",""Stage"":""aa"",""Throttle"":null}]",,usage-ris,"[""arn:aws:apigateway:us-east-1::/usageplans/jcbd51""]",aws,us-east-1,308676119841,aws_datalakeprd,"{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_datalakeprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
devportal,t1vu90,,,,,"[{""ApiId"":""71ebj30l19"",""Stage"":""PRD"",""Throttle"":null},{""ApiId"":""9pb8yfnf2l"",""Stage"":""PRD"",""Throttle"":null}]",,devportal,"[""arn:aws:apigateway:us-east-1::/usageplans/t1vu90""]",aws,us-east-1,800735908691,aws_cscprd,"{""connection_name"":""aws_cscprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_cscprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
