route_key,api_id,route_id,api_gateway_managed,api_key_required,authorization_type,authorizer_id,model_selection_expression,operation_name,route_response_selection_expression,target,authorization_scopes,request_models,request_parameters,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx
POST /atendimentos,ultuq2zm3c,aasrm39,,false,CUSTOM,x3ilnp,,,,integrations/2m5e37g,,,,aasrm39,"[""arn:aws:apigateway:sa-east-1::/apis/ultuq2zm3c/routes/aasrm39""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /patient/search,5tbexvjtad,ztm73td,,false,CUSTOM,dib279,,,,integrations/av3peh6,,,,ztm73td,"[""arn:aws:apigateway:sa-east-1::/apis/5tbexvjtad/routes/ztm73td""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
PUT /patient/update/{idFhir},5tbexvjtad,6d1jfct,,false,CUSTOM,dib279,,,,integrations/6ftjlzl,,,,6d1jfct,"[""arn:aws:apigateway:sa-east-1::/apis/5tbexvjtad/routes/6d1jfct""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /patient/filter/passaporte,5tbexvjtad,e5v7k47,,false,CUSTOM,dib279,,,,integrations/5bspgng,,,,e5v7k47,"[""arn:aws:apigateway:sa-east-1::/apis/5tbexvjtad/routes/e5v7k47""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /atendimentos/solicitante,ultuq2zm3c,fk7z2qg,,false,CUSTOM,x3ilnp,,,,integrations/zwkdej7,,,,fk7z2qg,"[""arn:aws:apigateway:sa-east-1::/apis/ultuq2zm3c/routes/fk7z2qg""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /patient/filter/nomeDeprecated,5tbexvjtad,3v2uz16,,false,CUSTOM,dib279,,,,integrations/zg8uk5m,,,,3v2uz16,"[""arn:aws:apigateway:sa-east-1::/apis/5tbexvjtad/routes/3v2uz16""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
POST /patient/create,5tbexvjtad,jwc3x2a,,false,CUSTOM,dib279,,,,integrations/r39k6tj,,,,jwc3x2a,"[""arn:aws:apigateway:sa-east-1::/apis/5tbexvjtad/routes/jwc3x2a""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /patient/tasy/{idTasy},5tbexvjtad,e99ygpt,,false,CUSTOM,dib279,,,,integrations/5bspgng,,,,e99ygpt,"[""arn:aws:apigateway:sa-east-1::/apis/5tbexvjtad/routes/e99ygpt""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /patient/filter/buscaNome/{nome},5tbexvjtad,7vn5r8o,,false,CUSTOM,dib279,,,,integrations/bbc438u,,,,7vn5r8o,"[""arn:aws:apigateway:sa-east-1::/apis/5tbexvjtad/routes/7vn5r8o""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /patient/filter/cpf,5tbexvjtad,in3uro9,,false,CUSTOM,dib279,,,,integrations/qp3vv0n,,,,in3uro9,"[""arn:aws:apigateway:sa-east-1::/apis/5tbexvjtad/routes/in3uro9""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
POST /adicionarProcedimentosOncologia,7alz3b2pmh,sf10q7i,,false,CUSTOM,cwiumc,,,,integrations/h3lyrgd,,,,sf10q7i,"[""arn:aws:apigateway:sa-east-1::/apis/7alz3b2pmh/routes/sf10q7i""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
GET /auth/sa,p922rqjjhc,rn5dczk,,false,CUSTOM,1t8il8,,,,integrations/i2dnag7,,,,rn5dczk,"[""arn:aws:apigateway:sa-east-1::/apis/p922rqjjhc/routes/rn5dczk""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
POST /patient/createandclassif,5tbexvjtad,rqt03tt,,false,CUSTOM,dib279,,,,integrations/5bspgng,,,,rqt03tt,"[""arn:aws:apigateway:sa-east-1::/apis/5tbexvjtad/routes/rqt03tt""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
