stage_name,api_id,api_gateway_managed,auto_deploy,client_certificate_id,created_date,deployment_id,default_route_data_trace_enabled,default_route_detailed_metrics_enabled,default_route_logging_level,default_route_throttling_burst_limit,default_route_throttling_rate_limit,last_deployment_status_message,last_updated_date,description,access_log_settings,stage_variables,route_settings,tags,title,akas,partition,region,account_id,sp_connection_name,sp_ctx,_ctx
$default,5tbexvjtad,,true,,2023-02-22T14:42:42Z,p7klrm,,false,,,,Successfully deployed stage with deployment ID 'p7klrm',2025-03-27T20:55:03Z,,"{""DestinationArn"":""arn:aws:logs:sa-east-1:413850945308:log-group:patient-backbone-api"",""Format"":""{\""requestId\"": \""$context.requestId\"",\""ip\"": \""$context.identity.sourceIp\"",\""requestTime\"": \""$context.requestTime\"",\""httpMethod\"": \""$context.httpMethod\"",\""routeKey\"": \""$context.routeKey\"",\""status\"": \""$context.status\"",\""protocol\"": \""$context.protocol\"",\""responseLength\"": \""$context.responseLength\"",\""errorResponseType\"": \""$context.error.responseType\"",\""errorMessageString\"": $context.error.messageString,\""errorMessage\"": \""$context.error.message\"",\""integrationError\"": \""$context.integration.error\"",\""integrationErrorMessage\"": \""$context.integrationErrorMessage\""}""}",{},{},{},$default,"[""arn:aws:apigateway:sa-east-1::/apis/5tbexvjtad/stages/$default""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
$default,p922rqjjhc,,true,,2025-03-26T20:36:15Z,d6adtv,,false,,,,Successfully deployed stage with deployment ID 'd6adtv',2025-03-26T20:42:38Z,,,{},{},{},$default,"[""arn:aws:apigateway:sa-east-1::/apis/p922rqjjhc/stages/$default""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
$default,ultuq2zm3c,,true,,2024-05-28T14:59:52Z,3own2m,,false,,,,Successfully deployed stage with deployment ID '3own2m',2025-03-28T14:39:27Z,,,{},{},{},$default,"[""arn:aws:apigateway:sa-east-1::/apis/ultuq2zm3c/stages/$default""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
$default,7alz3b2pmh,,true,,2024-02-15T23:57:28Z,pwtkv3,,false,,,,Successfully deployed stage with deployment ID 'pwtkv3',2025-03-28T14:44:07Z,,,{},{},{},$default,"[""arn:aws:apigateway:sa-east-1::/apis/7alz3b2pmh/stages/$default""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
$default,1cgsqi60x3,,true,,2023-02-28T10:58:28Z,2a7jts,,true,,,,Successfully deployed stage with deployment ID '2a7jts',2025-03-28T14:43:15Z,,"{""DestinationArn"":""arn:aws:logs:sa-east-1:413850945308:log-group:/aws/apigateway/schedule"",""Format"":""{\""requestId\"": \""$context.requestId\"",\""ip\"": \""$context.identity.sourceIp\"",\""requestTime\"": \""$context.requestTime\"",\""httpMethod\"": \""$context.httpMethod\"",\""routeKey\"": \""$context.routeKey\"",\""status\"": \""$context.status\"",\""protocol\"": \""$context.protocol\"",\""responseLength\"": \""$context.responseLength\"",\""errorResponseType\"": \""$context.error.responseType\"",\""errorMessageString\"": $context.error.messageString,\""errorMessage\"": \""$context.error.message\"",\""integrationError\"": \""$context.integration.error\"",\""integrationErrorMessage\"": \""$context.integrationErrorMessage\""}""}",{},{},{},$default,"[""arn:aws:apigateway:sa-east-1::/apis/1cgsqi60x3/stages/$default""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
$default,5blgkzmbg1,,true,,2024-02-09T18:30:40Z,1zas7z,,false,,,,Successfully deployed stage with deployment ID '1zas7z',2025-01-13T19:01:14Z,,"{""DestinationArn"":""arn:aws:logs:sa-east-1:413850945308:log-group:meioPagamento_serverless-gateway_logs"",""Format"":""{\""requestId\"": \""$context.requestId\"",\""ip\"": \""$context.identity.sourceIp\"",\""requestTime\"": \""$context.requestTime\"",\""httpMethod\"": \""$context.httpMethod\"",\""routeKey\"": \""$context.routeKey\"",\""status\"": $context.status\"",\""protocol\"": \""$context.protocol\"",\""responseLength\"": \""$context.responseLength\"",\""errorResponseType\"": \""$context.error.responseType\"",\""errorMessageString\"": $context.error.messageString\"",\""errorMessage\"": \""$context.error.message\"",\""integrationError\"": \""$context.integration.error\"",\""integrationErrorMessage\"": \""$context.integrationErrorMessage\""}""}",{},{},"{""STAGE"":""prd"",""aws:cloudformation:logical-id"":""HttpApiStage"",""aws:cloudformation:stack-id"":""arn:aws:cloudformation:sa-east-1:413850945308:stack/meioPagamentoServerless-prd/152775c0-c776-11ee-a946-0617c09e6309"",""aws:cloudformation:stack-name"":""meioPagamentoServerless-prd"",""hsl:operation:map-at"":""2024-02-10 05:00:38"",""map-migrated"":""d-server-02rouei8domo00""}",$default,"[""arn:aws:apigateway:sa-east-1::/apis/5blgkzmbg1/stages/$default""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
$default,8qrolkeoo1,,true,,2022-12-23T14:26:28Z,rzuej3,,false,,,,Successfully deployed stage with deployment ID 'rzuej3',2025-03-28T14:44:55Z,,"{""DestinationArn"":""arn:aws:logs:sa-east-1:413850945308:log-group:professional-api"",""Format"":""{\""ctx_accountId\"":\""$context.accountId\"",\""ctx_apiId\"":\""$context.apiId\"",\""ctx_authorizer_error\"":\""$context.authorizer.error\"",\""ctx_authorizer_principalId\"":\""$context.authorizer.principalId\"",\""ctx_awsEndpointRequestId\"":\""$context.awsEndpointRequestId\"",\""ctx_awsEndpointRequestId2\"":\""$context.awsEndpointRequestId2\"",\""ctx_customDomain_basePathMatched\"":\""$context.customDomain.basePathMatched\"",\""ctx_dataProcessed\"":\""$context.dataProcessed\"",\""ctx_domainName\"":\""$context.domainName\"",\""ctx_domainPrefix\"":\""$context.domainPrefix\"",\""ctx_error_message\"":\""$context.error.message\"",\""ctx_error_messageString\"":$context.error.messageString,\""ctx_error_responseType\"":\""$context.error.responseType\"",\""ctx_extendedRequestId\"":\""$context.extendedRequestId\"",\""ctx_httpMethod\"":\""$context.httpMethod\"",\""ctx_identity_accountId\"":\""$context.identity.accountId\"",\""ctx_identity_caller\"":\""$context.identity.caller\"",\""ctx_identity_cognitoAuthenticationProvider\"":\""$context.identity.cognitoAuthenticationProvider\"",\""ctx_identity_cognitoAuthenticationType\"":\""$context.identity.cognitoAuthenticationType\"",\""ctx_identity_cognitoIdentityId\"":\""$context.identity.cognitoIdentityId\"",\""ctx_identity_cognitoIdentityPoolId\"":\""$context.identity.cognitoIdentityPoolId\"",\""ctx_identity_principalOrgId\"":\""$context.identity.principalOrgId\"",\""ctx_identity_clientCert_clientCertPem\"":\""$context.identity.clientCert.clientCertPem\"",\""ctx_identity_clientCert_subjectDN\"":\""$context.identity.clientCert.subjectDN\"",\""ctx_identity_clientCert_issuerDN\"":\""$context.identity.clientCert.issuerDN\"",\""ctx_identity_clientCert_serialNumber\"":\""$context.identity.clientCert.serialNumber\"",\""ctx_identity_clientCert_validity_notBefore\"":\""$context.identity.clientCert.validity.notBefore\"",\""ctx_identity_clientCert_validity_notAfter\"":\""$context.identity.clientCert.validity.notAfter\"",\""ctx_identity_sourceIp\"":\""$context.identity.sourceIp\"",\""ctx_identity_user\"":\""$context.identity.user\"",\""ctx_identity_userAgent\"":\""$context.identity.userAgent\"",\""ctx_identity_userArn\"":\""$context.identity.userArn\"",\""ctx_integration_error\"":\""$context.integration.error\"",\""ctx_integration_integrationStatus\"":\""$context.integration.integrationStatus\"",\""ctx_integration_latency\"":\""$context.integration.latency\"",\""ctx_integration_requestId\"":\""$context.integration.requestId\"",\""ctx_integration_status\"":\""$context.integration.status\"",\""ctx_integrationErrorMessage\"":\""$context.integrationErrorMessage\"",\""ctx_integrationLatency\"":\""$context.integrationLatency\"",\""ctx_integrationStatus\"":\""$context.integrationStatus\"",\""ctx_path\"":\""$context.path\"",\""ctx_protocol\"":\""$context.protocol\"",\""ctx_requestId\"":\""$context.requestId\"",\""ctx_requestTime\"":\""$context.requestTime\"",\""ctx_requestTimeEpoch\"":\""$context.requestTimeEpoch\"",\""ctx_responseLatency\"":\""$context.responseLatency\"",\""ctx_responseLength\"":\""$context.responseLength\"",\""ctx_routeKey\"":\""$context.routeKey\"",\""ctx_stage\"":\""$context.stage\"",\""ctx_status\"":\""$context.status\""}""}",{},{},{},$default,"[""arn:aws:apigateway:sa-east-1::/apis/8qrolkeoo1/stages/$default""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
$default,lom29q18ab,,true,,2023-11-22T21:40:59Z,02k1j4,,false,,,,Successfully deployed stage with deployment ID '02k1j4',2025-03-28T14:40:24Z,,"{""DestinationArn"":""arn:aws:logs:sa-east-1:413850945308:log-group:payments_api-gateway_logs"",""Format"":""{\""requestId\"": \""$context.requestId\"",\""ip\"": \""$context.identity.sourceIp\"",\""requestTime\"": \""$context.requestTime\"",\""httpMethod\"": \""$context.httpMethod\"",\""routeKey\"": \""$context.routeKey\"",\""status\"": \""$context.status\"",\""protocol\"": \""$context.protocol\"",\""responseLength\"": \""$context.responseLength\"",\""errorResponseType\"": \""$context.error.responseType\"",\""errorMessageString\"": $context.error.messageString,\""errorMessage\"": \""$context.error.message\"",\""integrationError\"": \""$context.integration.error\"",\""integrationErrorMessage\"": \""$context.integrationErrorMessage\""}""}",{},{},{},$default,"[""arn:aws:apigateway:sa-east-1::/apis/lom29q18ab/stages/$default""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
$default,szo9hxfrb0,,true,,2023-03-10T13:37:02Z,2y78de,,false,,,,Successfully deployed stage with deployment ID '2y78de',2025-03-28T14:39:07Z,,,{},{},{},$default,"[""arn:aws:apigateway:sa-east-1::/apis/szo9hxfrb0/stages/$default""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
$default,xig0pd32zg,,true,,2024-05-24T11:55:20Z,i7rfui,,false,,,,Successfully deployed stage with deployment ID 'i7rfui',2025-04-23T21:30:38Z,,,{},{},"{""STAGE"":""prd"",""aws:cloudformation:logical-id"":""HttpApiStage"",""aws:cloudformation:stack-id"":""arn:aws:cloudformation:sa-east-1:413850945308:stack/atendimentoComplementoCrudServerless-prd/59543530-19c4-11ef-9edf-0a38d9c448c5"",""aws:cloudformation:stack-name"":""atendimentoComplementoCrudServerless-prd"",""hsl:operation:map-at"":""2024-05-25 05:00:39"",""map-migrated"":""d-server-02rouei8domo00""}",$default,"[""arn:aws:apigateway:sa-east-1::/apis/xig0pd32zg/stages/$default""]",aws,sa-east-1,413850945308,aws_backbonedigitalprd,"{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}","{""connection_name"":""aws_backbonedigitalprd"",""steampipe"":{""sdk_version"":""5.13.1""}}"
