Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand,Linux Reserved cost,Linux Spot Minimum cost,Windows On Demand cost,Windows Reserved cost
R6IDN 12xlarge,r6idn.12xlarge,384 GiB,48 vCPUs,2850 GB (2×1425 GB NVMe SSD),75 Gigabit,$4.6894 hourly,$2.9543 hourly,unavailable,$6.8974 hourly,$5.1623 hourly
C5N 18xlarge,c5n.18xlarge,192 GiB,72 vCPUs,EBS only,100 Gigabit,$3.8880 hourly,$2.4490 hourly,unavailable,$7.2000 hourly,$5.7610 hourly
R6ID Eight Extra Large,r6id.8xlarge,256 GiB,32 vCPUs,1900 GB NVMe SSD,12.5 Gigabit,$2.4192 hourly,$1.5204 hourly,unavailable,$3.8912 hourly,$2.9924 hourly
I3EN 12xlarge,i3en.12xlarge,384 GiB,48 vCPUs,30000 GB (4×7500 GB NVMe SSD),50 Gigabit,$5.4240 hourly,$3.6940 hourly,unavailable,$7.6320 hourly,$5.9020 hourly
M6IN Extra Large,m6in.xlarge,16 GiB,4 vCPUs,EBS only,Up to 30 Gigabit,$0.2785 hourly,$0.1754 hourly,unavailable,$0.4625 hourly,$0.3594 hourly
X2IEDN 32xlarge,x2iedn.32xlarge,4096 GiB,128 vCPUs,3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$26.6760 hourly,$16.4137 hourly,unavailable,$32.5640 hourly,$22.3017 hourly
C5 High-CPU 18xlarge,c5.18xlarge,144 GiB,72 vCPUs,EBS only,25 Gigabit,$3.0600 hourly,$1.9280 hourly,unavailable,$6.3720 hourly,$5.2400 hourly
C6IN Metal,c6in.metal,256 GiB,128 vCPUs,EBS only,200 Gigabit,$7.2576 hourly,$4.5723 hourly,unavailable,$13.1456 hourly,$10.4603 hourly
C7A Eight Extra Large,c7a.8xlarge,64 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.6422 hourly,$1.0863 hourly,unavailable,$3.1142 hourly,$2.5583 hourly
C5N 9xlarge,c5n.9xlarge,96 GiB,36 vCPUs,EBS only,50 Gigabit,$1.9440 hourly,$1.2250 hourly,unavailable,$3.6000 hourly,$2.8810 hourly
X1E 16xlarge,x1e.16xlarge,1952 GiB,64 vCPUs,1920 GB SSD,10 Gigabit,$13.3440 hourly,$8.2230 hourly,unavailable,$16.2880 hourly,$11.1670 hourly
R7IZ Eight Extra Large,r7iz.8xlarge,256 GiB,32 vCPUs,EBS only,12.5 Gigabit,$2.9760 hourly,$1.8749 hourly,unavailable,$4.4480 hourly,$3.3469 hourly
R6IDN Metal,r6idn.metal,1024 GiB,128 vCPUs,7600 GB (4×1900 GB NVMe SSD),200 Gigabit,$12.5050 hourly,$7.8781 hourly,unavailable,$18.3930 hourly,$13.7661 hourly
R4 High-Memory Quadruple Extra Large,r4.4xlarge,122 GiB,16 vCPUs,EBS only,Up to 10 Gigabit,$1.0640 hourly,$0.6720 hourly,unavailable,$1.8000 hourly,$1.4080 hourly
M6ID Double Extra Large,m6id.2xlarge,32 GiB,8 vCPUs,474 GB NVMe SSD,Up to 12.5 Gigabit,$0.4746 hourly,$0.2990 hourly,unavailable,$0.8426 hourly,$0.6670 hourly
M5 General Purpose Eight Extra Large,m5d.8xlarge,128 GiB,32 vCPUs,1200 GB (2×600 GB NVMe SSD),10 Gigabit,$1.8080 hourly,$1.1390 hourly,unavailable,$3.2800 hourly,$2.6110 hourly
X2IDN Metal,x2idn.metal,2048 GiB,128 vCPUs,3800 GB (2×1900 GB NVMe SSD),100 Gigabit,$13.3380 hourly,$8.2069 hourly,unavailable,$19.2260 hourly,$14.0949 hourly
M8G Eight Extra Large,m8g.8xlarge,128 GiB,32 vCPUs,EBS only,15 Gigabit,$1.4362 hourly,$0.9500 hourly,unavailable,unavailable,unavailable
C5 High-CPU 24xlarge,c5d.24xlarge,192 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$4.6080 hourly,$2.9030 hourly,unavailable,$9.0240 hourly,$7.3190 hourly
C5 High-CPU Metal,c5d.metal,192 GiB,96 vCPUs,3600 GB (4×900 GB NVMe SSD),25 Gigabit,$4.6080 hourly,$2.9030 hourly,unavailable,$9.0240 hourly,$7.3190 hourly
M5 General Purpose 12xlarge,m5.12xlarge,192 GiB,48 vCPUs,EBS only,12 Gigabit,$2.3040 hourly,$1.4520 hourly,unavailable,$4.5120 hourly,$3.6600 hourly
I7I 24xlarge,i7i.24xlarge,768 GiB,96 vCPUs,22500 GB (6×3750 GB NVMe SSD),Up to 56.25 Gigabit,$9.0605 hourly,unavailable,unavailable,$13.4765 hourly,unavailable
R4 High-Memory Double Extra Large,r4.2xlarge,61 GiB,8 vCPUs,EBS only,Up to 10 Gigabit,$0.5320 hourly,$0.3360 hourly,unavailable,$0.9000 hourly,$0.7040 hourly
C5N Metal,c5n.metal,192 GiB,72 vCPUs,EBS only,100 Gigabit,$3.8880 hourly,$2.4490 hourly,unavailable,$7.2000 hourly,$5.7610 hourly
R7GD Metal,r7gd.metal,512 GiB,64 vCPUs,3800 GB (2×1900 GB NVMe SSD),30 Gigabit,$4.3546 hourly,$2.7367 hourly,unavailable,unavailable,unavailable
R7IZ 12xlarge,r7iz.12xlarge,384 GiB,48 vCPUs,EBS only,25 Gigabit,$4.4640 hourly,$2.8123 hourly,unavailable,$6.6720 hourly,$5.0203 hourly
R5N Metal,r5n.metal,768 GiB,96 vCPUs,EBS only,100 Gigabit,$7.1520 hourly,$4.5060 hourly,unavailable,$11.5680 hourly,$8.9220 hourly
I3EN Large,i3en.large,16 GiB,2 vCPUs,1250 GB NVMe SSD,Up to 25 Gigabit,$0.2260 hourly,$0.1540 hourly,unavailable,$0.3180 hourly,$0.2460 hourly
C8G Metal-48xl,c8g.metal-48xl,384 GiB,192 vCPUs,EBS only,50 Gigabit,$7.6570 hourly,$5.0457 hourly,unavailable,unavailable,unavailable
M7I 16xlarge,m7i.16xlarge,256 GiB,64 vCPUs,EBS only,25 Gigabit,$3.2256 hourly,$2.1337 hourly,unavailable,$6.1696 hourly,$5.0777 hourly
M6I Eight Extra Large,m6i.8xlarge,128 GiB,32 vCPUs,EBS only,12.5 Gigabit,$1.5360 hourly,$1.0161 hourly,unavailable,$3.0080 hourly,$2.4881 hourly
