Name,API Name,Memory,vCPUs,Storage,On Demand Cost,Reserved Cost
C7I Extra Large,c7i.xlarge.search,8 GiB,4,EBS Only,$0.2860 hourly,$0.1970 hourly
M5 General Purpose Large,m5.large.search,8 GiB,2,EBS Only,$0.1420 hourly,$0.0980 hourly
I4G 16xlarge Extra Large,i4g.16xlarge.search,512 GiB,64,"4 x 3,750 Nitro SSD",$7.9070 hourly,$5.4560 hourly
C5 Compute Optimized Extra Large,c5.xlarge.search,8 GiB,4,EBS Only,$0.2510 hourly,$0.1730 hourly
R6G Memory Optimized 12xlarge Extra Large,r6g.12xlarge.search,384 GiB,48,EBS Only,$4.0160 hourly,$2.7710 hourly
R7GD Double Extra Large,r7gd.2xlarge.search,64 GiB,8,1 x 475 NVMe SSD,$0.9040 hourly,$0.6240 hourly
OR2 Extra Large,or2.xlarge.search,32 GiB,4,EBS Only,$0.4010 hourly,$0.2760 hourly
R7I Eight Extra Large,r7i.8xlarge.search,256 GiB,32,EBS Only,$3.3870 hourly,$2.3370 hourly
C4 Compute Optimized Quadruple Extra Large,c4.4xlarge.search,30 GiB,16,EBS Only,$1.1740 hourly,$0.8100 hourly
C5 Compute Optimized 18xlarge,c5.18xlarge.search,144 GiB,72,EBS Only,$4.5140 hourly,$3.1150 hourly
C6G Compute Optimized Double Extra Large,c6g.2xlarge.search,16 GiB,8,EBS Only,$0.4520 hourly,$0.3120 hourly
M7I Large,m7i.large.search,8 GiB,2,EBS Only,$0.1610 hourly,$0.1110 hourly
OM2 12xlarge Extra Large,om2.12xlarge.search,192 GiB,48,EBS Only,$3.6620 hourly,$2.5270 hourly
M4 General Purpose Large,m4.large.search,8 GiB,2,EBS Only,$0.1510 hourly,$0.1040 hourly
I4I Quadruple Extra Large,i4i.4xlarge.search,128 GiB,16,"1 x 3,750 Nitro SSD",$2.1970 hourly,$1.5160 hourly
R6G Memory Optimized Double Extra Large,r6g.2xlarge.search,64 GiB,8,EBS Only,$0.6690 hourly,$0.4620 hourly
R6G Memory Optimized Large,r6g.large.search,16 GiB,2,EBS Only,$0.1670 hourly,$0.1150 hourly
I3 Storage Optimized Extra Large,i3.xlarge.search,30.5 GiB,4,1 x 950 NVMe SSD,$0.4990 hourly,$0.3440 hourly
IM4GN Double Extra Large,im4gn.2xlarge.search,32 GiB,8,1 x 3750 SSD,$1.0910 hourly,$0.7530 hourly
M6G General Purpose Double Extra Large,m6g.2xlarge.search,32 GiB,8,EBS Only,$0.5110 hourly,$0.3530 hourly
R7GD Large,r7gd.large.search,16 GiB,2,1 x 118 NVMe SSD,$0.2260 hourly,$0.1560 hourly
C5 Compute Optimized Quadruple Extra Large,c5.4xlarge.search,32 GiB,16,EBS Only,$1.0030 hourly,$0.6920 hourly
C7I Eight Extra Large,c7i.8xlarge.search,64 GiB,32,EBS Only,$2.2850 hourly,$1.5770 hourly
I4I Eight Extra Large,i4i.8xlarge.search,256 GiB,32,"2 x 3,750 Nitro SSD",$4.3940 hourly,$3.0320 hourly
M6G General Purpose Extra Large,m6g.xlarge.search,16 GiB,4,EBS Only,$0.2560 hourly,$0.1770 hourly
M6G General Purpose Quadruple Extra Large,m6g.4xlarge.search,64 GiB,16,EBS Only,$1.0230 hourly,$0.7060 hourly
T3 General Purpose Small,t3.small.search,2 GiB,2,EBS Only,$0.0360 hourly,unavailable
R4 Memory Optimized Large,r4.large.search,15.25 GiB,2,EBS Only,$0.1960 hourly,$0.1350 hourly
R5 Memory Optimized Double Extra Large,r5.2xlarge.search,64 GiB,8,EBS Only,$0.7430 hourly,$0.5130 hourly
I4I Double Extra Large,i4i.2xlarge.search,64 GiB,8,"1 x 1,875 Nitro SSD",$1.0980 hourly,$0.7580 hourly
R6G Memory Optimized Eight Extra Large,r6g.8xlarge.search,256 GiB,32,EBS Only,$2.6770 hourly,$1.8470 hourly
M6G General Purpose Large,m6g.large.search,8 GiB,2,EBS Only,$0.1280 hourly,$0.0880 hourly
R5 Memory Optimized Extra Large,r5.xlarge.search,32 GiB,4,EBS Only,$0.3720 hourly,$0.2570 hourly
OR2 12xlarge Extra Large,or2.12xlarge.search,384 GiB,48,EBS Only,$4.8000 hourly,$3.3120 hourly
R7G Double Extra Large,r7g.2xlarge.search,64 GiB,8,EBS Only,$0.7110 hourly,$0.4910 hourly
M7G Eight Extra Large,m7g.8xlarge.search,128 GiB,32,EBS Only,$2.1670 hourly,$1.4950 hourly
I4I 32xlarge,i4i.32xlarge.search,1024 GiB,128,"8 x 3,750 Nitro SSD",$17.5720 hourly,$12.1250 hourly
I4G Quadruple Extra Large,i4g.4xlarge.search,128 GiB,16,"1 x 3,750 Nitro SSD",$1.9770 hourly,$1.3640 hourly
R4 Memory Optimized Eight Extra Large,r4.8xlarge.search,244 GiB,32,EBS Only,$3.1390 hourly,$2.1660 hourly
I4I 16xlarge Extra Large,i4i.16xlarge.search,512 GiB,64,"4 x 3,750 Nitro SSD",$8.7860 hourly,$6.0620 hourly
C7G Large,c7g.large.search,4 GiB,2,EBS Only,$0.1200 hourly,$0.0830 hourly
I2 Storage Optimized Double Extra Large,i2.2xlarge.search,61 GiB,8,2 x 800 SSD,$2.3870 hourly,unavailable
M7I 12xlarge Extra Large,m7i.12xlarge.search,192 GiB,48,EBS Only,$3.8710 hourly,$2.6710 hourly
M3 General Purpose Double Extra Large,m3.2xlarge.search,30 GiB,8,2 x 80 SSD,$0.7520 hourly,unavailable
I3 Storage Optimized 16xlarge Extra Large,i3.16xlarge.search,488 GiB,64,8 x 1900 NVMe SSD,$7.9870 hourly,$5.5110 hourly
R6GD Memory Optimized (NVME SSD) 12xlarge Extra Large,r6gd.12xlarge.search,384 GiB,48,2 x 1425 NVMe SSD,$4.5900 hourly,$3.1670 hourly
I3 Storage Optimized Double Extra Large,i3.2xlarge.search,61 GiB,8,1 x 1900 NVMe SSD,$0.9980 hourly,$0.6890 hourly
ULTRAWARM1 Medium,ultrawarm1.medium.search,15.25 GiB,2,1.5,$0.2380 hourly,unavailable
R7G 16xlarge Extra Large,r7g.16xlarge.search,512 GiB,64,EBS Only,$5.6890 hourly,$3.9250 hourly
