Name,API Name,Memory,Storage,vCPUs,Network Performance,PostgreSQL,PostgreSQL Reserved Cost,MySQL On Demand Cost,MySQL Reserved Cost,SQL Server Expresss On Demand Cost,SQL Server Expresss Reserved Cost,SQL Server Web On Demand Cost,SQL Server Web Reserved Cost,SQL Server Standard On Demand Cost,SQL Server Standard Reserved Cost,SQL Server Enterprise On Demand Cost,SQL Server Enterprise Reserved Cost,Aurora Postgres & MySQL On Demand Cost,Aurora Postgres & MySQL Reserved Cost,Aurora I/O Optimized On Demand Cost,MariaDB On Demand Cost,MariaDB Reserved Cost,Oracle Enterprise On Demand Cost,Oracle Enterprise Reserved Cost
R5D 24xlarge,db.r5d.24xlarge,768,4 x 900 NVMe SSD,96,25 Gbps,$13.7140 hourly,$10.5600 hourly,$13.7140 hourly,$10.5600 hourly,unavailable,unavailable,unavailable,unavailable,$37.6990 hourly,$35.6257 hourly,$61.5260 hourly,$61.3726 hourly,unavailable,unavailable,unavailable,$13.7140 hourly,unavailable,$12.7830 hourly,$9.2621 hourly
R5 Quadruple Extra Large,db.r5.4xlarge,128,Aurora IO Optimization Mode,16,Up to 10 Gigabit,$2.0000 hourly,$1.1550 hourly,$1.9200 hourly,$1.1088 hourly,unavailable,unavailable,$3.5200 hourly,$2.9568 hourly,$6.0800 hourly,$5.7456 hourly,$10.0040 hourly,$9.9790 hourly,$2.3200 hourly,$1.5100 hourly,$3.0160 hourly,$1.9200 hourly,$1.1088 hourly,$1.8640 hourly,$1.0782 hourly
R6G 12xlarge,db.r6g.12xlarge,384,EBS Only,48,20 Gigabit,$5.3950 hourly,$3.1163 hourly,$5.1550 hourly,$2.9771 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$6.2290 hourly,$4.0812 hourly,$8.0980 hourly,$5.1550 hourly,$2.9771 hourly,unavailable,unavailable
R8G 16xlarge,db.r8g.16xlarge,512,Aurora IO Optimization Mode,64,30 Gigabit,$7.6480 hourly,$5.1240 hourly,$7.6480 hourly,$5.1240 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$8.8320 hourly,$5.9170 hourly,$11.4880 hourly,$7.6480 hourly,$5.1240 hourly,unavailable,unavailable
R6I Eight Extra Large,db.r6i.8xlarge,256,Aurora IO Optimization Mode,32,12.5 Gbps,$4.0000 hourly,$2.3104 hourly,$3.8400 hourly,$2.2176 hourly,unavailable,unavailable,unavailable,unavailable,$12.1600 hourly,$11.4912 hourly,$20.0080 hourly,$19.9580 hourly,$4.6400 hourly,$3.0400 hourly,$6.0320 hourly,$3.8400 hourly,$2.2176 hourly,$3.7280 hourly,$2.1564 hourly
T3 Small,db.t3.small,2,EBS Only,2,Low to Moderate,$0.0360 hourly,$0.0258 hourly,$0.0340 hourly,$0.0239 hourly,$0.0440 hourly,$0.0277 hourly,$0.1390 hourly,$0.0875 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$0.0530 hourly,$0.0340 hourly,$0.0239 hourly,$0.0340 hourly,$0.0214 hourly
M6ID 16xlarge,db.m6id.16xlarge,256,2 x 1900 NVMe SSD,64,25 Gbps,$7.1740 hourly,$5.5242 hourly,$7.1740 hourly,$5.5242 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$7.1740 hourly,$5.5242 hourly,$7.1680 hourly,$5.5190 hourly
R5 16xlarge,db.r5.16xlarge,512,EBS Only,64,,$8.0000 hourly,$4.6200 hourly,$7.6800 hourly,$4.4352 hourly,unavailable,unavailable,unavailable,unavailable,$24.3200 hourly,$22.9824 hourly,$40.0160 hourly,$39.9160 hourly,$9.2800 hourly,$6.0400 hourly,$12.0640 hourly,$7.6800 hourly,$4.4352 hourly,$7.4560 hourly,$4.3129 hourly
X2IEDN Quadruple Extra Large,db.x2iedn.4xlarge,512,1 x 475 NVMe SSD,16,Up to 25 Gbps,$7.6080 hourly,unavailable,$7.6080 hourly,$6.8401 hourly,unavailable,unavailable,unavailable,unavailable,$10.5270 hourly,$9.8954 hourly,$13.5532 hourly,unavailable,unavailable,unavailable,unavailable,$7.6080 hourly,$6.8401 hourly,$7.6080 hourly,$6.7738 hourly
M6I 16xlarge,db.m6i.16xlarge,256,EBS Only,64,25 Gbps,$5.6960 hourly,$3.6480 hourly,$5.4720 hourly,$3.5040 hourly,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,$37.3760 hourly,$35.8720 hourly,unavailable,unavailable,unavailable,$5.4720 hourly,$3.5040 hourly,$5.4720 hourly,$3.3899 hourly
